title,channel,publish_date,category_id,view_count,like_count,comment_count
The Super Mario Galaxy Movie  | Official Trailer REACTION!!,Blind Wave,2025-11-12T22:23:09Z,24,11768,1172,69
FLYING FREDBEAR GOT EVEN SCARIER..,Aimin,2025-11-11T20:13:39Z,20,810310,27627,4623
Ya Fue,Herencia De Grandes - Topic,2025-11-07T05:00:24Z,10,261803,4341,0
The Super Mario Galaxy Movie FIRST LOOK Revealed!,Vailskibum,2025-11-12T19:00:52Z,24,41728,2909,545
catching steal a brainrot scammers,steak,2025-11-12T23:13:11Z,20,178041,8702,173
This Cover Song Will Give You Absolute GOOSEBUMPS All Over 🥹 (HER voice is STUNNING) 💙,Fearless Soul,2025-11-11T21:17:02Z,10,219520,1019,38
Sonic CrossWorlds: Trevor Mod Trailer (+ DOWNLOAD),Saltydkdan,2025-11-12T17:00:36Z,20,25150,4915,378
Deadcam,CaseOh,2025-11-11T23:00:21Z,20,457463,17076,965
​@CallejeroFino + @Lautygram  + LA PRE$ION 危 Vol • 3,Callejero Fino,2025-11-11T22:23:06Z,10,255881,3635,360
Michael REACTS to New Toy Story 5 Trailer,Michael Knowles,2025-11-12T21:42:00Z,24,18662,1401,196
I built 3 MORE deranged Ai and forced them to play D&D,DougDoug: Published Author,2025-11-12T20:00:04Z,20,124875,10672,953
Dayglow - Can I Call You Tonight? (Lyrics),7clouds Rock,2025-11-11T15:18:55Z,22,736018,1285,41
X-MEN ARE BACK...kinda...MAX REACTS: TOKON BETA 2 Trailer,Maximilian Dood,2025-11-12T00:32:22Z,20,136645,4806,679
Dispatch - Episode 7 Full Game Playthrough ( Invisigal Route ),Faz Faz,2025-11-12T17:49:24Z,20,103057,2794,172
Ryan Castro - OJALA (Live) [SENDÉ World Tour],Ryan Castro,2025-11-12T18:06:15Z,10,81199,702,298
The New Steam Hardware is AMAZING!!,Dave2D,2025-11-12T18:18:47Z,28,274737,19452,2035
Choke On It,Unbound Music - Topic,2025-11-05T13:18:25Z,10,32566,1432,0
Our New Team is Actually JUICED! Wheel of MUT! Ep. #19,MMG,2025-11-13T00:06:59Z,17,52841,4140,371
ROA - 11:11 (Official Video),ROAVEVO,2025-11-12T00:00:23Z,10,418938,44346,1670
Steam Machine Hands-On: First Impressions of Valve’s New Console-Like Gaming PC,IGN,2025-11-12T18:01:09Z,28,168655,6896,1489
FBG Murda - Nightmares (Official Video),FBG Murda,2025-11-11T20:00:37Z,20,104876,2555,162
I Tested Every YouTuber Ritual in Steal A Brainrot,Doodle and Arkey,2025-11-12T20:30:19Z,20,137238,3339,476
José José - Volcán (Letra/Lyrics),FireFly,2025-11-11T17:03:56Z,10,300892,376,6
Whatever I DRAW Comes To LIFE In Roblox..,Foltyn,2025-11-12T15:00:48Z,20,271173,6707,1946
Creedence Clearwater Revival - Fortunate Son (Fan Celebration Version),Creedence Clearwater Revival,2025-11-11T17:01:10Z,10,167171,1298,62
PATCH NOTES ARE HERE! NEW HERO GAMBIT SHOWCASE TODAY,Flats,2025-11-13T00:29:37Z,20,120078,2672,19
Lil Noonie - Choppa Season (Official Music Video),Lil Noonie ,2025-11-12T01:10:50Z,22,61042,5081,320
67 has gone too far..,Tyler & Snowi,2025-11-12T00:03:00Z,20,576907,14160,440
"El Alfa ""El Jefe"" x FARIANA - QUITA Y PONE | Video Oficial",ElAlfaElJefeTV,2025-11-11T21:59:06Z,10,1429933,10471,758
The North Line Update | ARC Raiders,ARC Raiders,2025-11-12T17:00:07Z,20,157030,9898,919
Belly,Wale - Topic,2025-11-11T16:00:38Z,10,43092,4325,242
Steal a Brainrot Admin Abuse (Taco Tuesday),KreekCraft,2025-11-12T00:40:15Z,20,3136897,33183,142
Goo Goo Dolls - Iris (Lyrics),ourmemoriestonight,2025-11-09T12:30:49Z,10,247195,484,9
JYNXZI VS SPEED (Clash Royale),Jynxzi,2025-11-11T20:16:29Z,20,558387,13589,802
TYKING x @BabyLocc83 - Mera Pija (Video Official),TYKING,2025-11-12T18:51:36Z,10,34518,7293,1124
I Adopted the MEOWL in Minecraft!,Cash,2025-11-12T15:00:51Z,24,173872,3209,597
MO3 - Cake Up (Official Video) (feat. Ralo),HSM,2025-11-11T19:01:20Z,10,81856,7525,588
Give Shroud Astral Pulse VS Gives Prototype ALL ENDINGS -All Choices- Dispatch Episode 8 4K,BabyZone,2025-11-12T19:57:32Z,20,76359,1705,210
her,JVKE - Topic,2025-11-10T16:13:37Z,10,170011,10464,228
Ex-Mr Beast member reacts to BEAST LAND,Flamingo,2025-11-12T03:46:47Z,20,481633,29642,2840
Mon Laferte - Veracruz (Letra),LowDrow,2025-11-11T17:00:06Z,10,439933,874,10
How Long Can a TRAIN Get?,UnspeakablePlays,2025-11-12T21:00:10Z,20,57327,1511,184
"The Chainsmokers, Halsey - Closer (Lyrics)",Glim R&B,2025-11-10T17:29:49Z,10,116219,349,12
The Scallywag Of Speranza | Vol. 1 | Arc Raiders,TheBurntPeanut,2025-11-12T19:11:50Z,20,63860,2966,176
cal scruby - FOR THE RECORD (official music video),Cal Scruby,2025-11-12T20:00:07Z,10,11463,2679,422
Trapping my FRIENDS in the FAKE FOREST 99!,Aphmau,2025-11-12T20:31:08Z,20,80128,3990,582
I Don't Care,Cain Walker - Topic,2025-11-08T21:39:49Z,10,104165,4994,48
I played YET ANOTHER 8 Souls-Like games you've never heard of,Iron Pineapple,2025-11-11T20:00:51Z,20,623788,32128,3148
Olivia Dean - So Easy (To Fall In Love) in the Live Lounge,BBCRadio1VEVO,2025-11-11T16:00:24Z,10,327532,5469,124
If Steal A Brainrots Had Kids,DoodleBlox,2025-11-13T00:00:33Z,22,33742,1305,192
Jessi (제시) - 'Girls Like Me' MV,Jessi,2025-11-12T05:00:08Z,10,1137969,39728,2043
GET THE BOSS!! Lady Luck Won Her BIGGEST JACKPOT Ever at Hard Rock!,Lady Luck HQ,2025-11-12T21:30:14Z,24,56503,4173,1442
THF Gbaby-“Man up Band up” [Official Video](Shot By: ​@tdwiththashot ),THF Gbaby,2025-11-11T20:30:02Z,22,40413,2284,250
Pokemon Online Battles Hacking Is Out Of Control!,Austin John Plays,2025-11-12T22:31:25Z,20,68171,6093,1385
Breaking Rust - Walk My Walk ( Official Lyric Video ),Breaking Rust,2025-11-03T17:36:58Z,10,159178,4233,332
All Steal A Brainrots Meet The First Player...,FuzzBlox,2025-11-12T18:00:02Z,20,113986,5651,357
